2018/1/9	4.97
2018/1/10	4.9
2018/1/11	4.89
2018/1/12	4.94
2018/1/15	4.94
2018/1/16	5.12
2018/1/17	5.14
2018/1/18	5.13
2018/1/19	5.04
2018/1/22	4.99
2018/1/23	5.06
2018/1/24	5.16
2018/1/25	5.21
2018/1/26	5.2
2018/1/29	5.62
2018/1/30	5.78
2018/1/31	5.58
2018/2/1	5.49
2018/2/2	6.27
2018/2/5	12.32
2018/2/6	9.13
2018/2/7	8.69
2018/2/8	9.72
2018/2/9	9.21
2018/2/12	8.92
2018/2/21	8.33
2018/2/22	8.12
2018/2/23	7.61
2018/2/26	7.31
2018/2/27	7.86
2018/3/1	8.82
2018/3/2	8.49
2018/3/5	8.22
2018/3/6	8.27
2018/3/7	8.11
2018/3/8	7.87
2018/3/9	7.33
2018/3/12	7.49
2018/3/13	7.68
2018/3/14	7.86
2018/3/15	7.58
2018/3/16	7.46
2018/3/19	7.94
2018/3/20	7.9
2018/3/21	7.89
2018/3/22	8.78
2018/3/23	9.26
2018/3/26	8.77
2018/3/27	9.25
2018/3/28	9.51
2018/3/29	9.03
2018/3/30	9.03
2018/3/31	9.03
2018/4/2	9.63
2018/4/3	9.31
2018/4/9	9.44
2018/4/10	9.22
2018/4/11	9.22
2018/4/12	8.84
2018/4/13	8.54
2018/4/16	8.15
2018/4/17	7.7
2018/4/18	7.72
2018/4/19	7.79
2018/4/20	8
2018/4/23	7.96
2018/4/24	8.32
2018/4/25	8.39
2018/4/26	8.01
2018/4/27	7.82
2018/4/30	7.89
2018/5/2	7.88
2018/5/3	7.79
2018/5/4	7.63
2018/5/7	7.6
2018/5/8	7.57
2018/5/9	7.27
2018/5/10	6.99
2018/5/11	6.79
2018/5/14	6.68
2018/5/15	7.12
2018/5/16	6.81
2018/5/17	6.68
2018/5/18	6.76
2018/5/21	6.55
2018/5/22	6.6
2018/5/23	6.47
2018/5/24	6.43
2018/5/25	6.56
2018/5/28	6.56
2018/5/29	7.32
2018/5/30	7.03
2018/5/31	7.11
2018/6/1	6.71
2018/6/4	6.48
2018/6/5	6.37
2018/6/6	6.15
2018/6/7	6.19
2018/6/8	6.24
2018/6/11	6.1
2018/6/12	6.07
2018/6/13	6.21
2018/6/14	5.99
2018/6/15	6.02
2018/6/19	6.28
2018/6/20	6.13
2018/6/21	6.57
2018/6/22	6.38
2018/6/25	7.17
2018/6/26	7.01
2018/6/27	7.45
2018/6/28	7.31
2018/6/29	7.12
2018/7/2	7.12
2018/7/3	7.28
2018/7/4	7.28
2018/7/5	6.95
2018/7/6	6.63
2018/7/9	6.23
2018/7/10	6.13
2018/7/11	6.37
2018/7/12	6.17
2018/7/13	6.06
2018/7/16	6.07
2018/7/17	5.92
2018/7/18	5.91
2018/7/19	6.03
2018/7/20	6.08
2018/7/23	5.99
2018/7/24	5.99
2018/7/25	5.88
2018/7/26	5.89
2018/7/27	6.07
2018/7/30	6.29
2018/7/31	5.99
2018/8/1	6.05
2018/8/2	5.95
2018/8/3	5.84
2018/8/6	5.63
2018/8/7	5.49
2018/8/8	5.46
2018/8/9	5.52
2018/8/10	5.85
2018/8/13	6.19
2018/8/14	5.84
2018/8/15	6.1
2018/8/16	5.88
2018/8/17	5.68
2018/8/20	5.61
2018/8/21	5.78
2018/8/22	5.6
2018/8/23	5.63
2018/8/24	5.59
2018/8/27	5.59
2018/8/28	5.57
2018/8/29	5.53
2018/8/30	5.74
2018/8/31	5.55
2018/9/3	5.55
2018/9/4	5.61
2018/9/5	5.74
2018/9/6	5.94
2018/9/7	6.01
2018/9/10	5.8
2018/9/11	5.6
2018/9/12	5.55
2018/9/13	5.38
2018/9/14	5.26
2018/9/17	5.49
2018/9/18	5.37
2018/9/19	5.22
2018/9/20	5.13
2018/9/21	5.16
2018/9/25	5.14
2018/9/26	5.26
2018/9/27	5.14
2018/9/28	5.1
2018/10/1	5.07
2018/10/2	5.1
2018/10/3	5.03
2018/10/4	5.32
2018/10/5	5.43
2018/10/8	5.56
2018/10/9	5.64
2018/10/11	6.79
2018/10/12	6.56
2018/10/15	6.7
2018/10/16	6.21
2018/10/17	6.16
2018/10/18	6.65
2018/10/19	6.65
2018/10/22	6.7
2018/10/23	6.79
2018/10/24	7.39
2018/10/25	7.5
2018/10/26	7.57
2018/10/29	7.73
2018/10/30	7.54
2018/10/31	7.33
2018/11/1	6.99
2018/11/2	7.01
2018/11/5	6.96
2018/11/6	6.71
2018/11/7	6.2
2018/11/8	6.22
2018/11/9	6.42
2018/11/12	6.93
2018/11/13	6.97
2018/11/14	7.18
2018/11/15	7.03
2018/11/16	6.73
2018/11/19	7.13
2018/11/20	7.54
2018/11/21	7.42
2018/11/22	7.42
2018/11/23	7.55
2018/11/26	6.99
2018/11/27	6.93
2018/11/28	6.73
2018/11/29	6.77
2018/11/30	6.52
2018/12/3	6.19
2018/12/4	7.03
2018/12/5	7.03
2018/12/6	7.19
2018/12/7	7.69
2018/12/10	7.65
2018/12/11	7.62
2018/12/12	7.59
2018/12/13	7.49
2018/12/14	7.76
2018/12/17	8.09
2018/12/18	8.22
2018/12/19	8.34
2018/12/20	8.49
2018/12/21	9.04
2018/12/22	9.04
2018/12/24	9.57
2018/12/25	9.57
2018/12/26	9.15
2018/12/27	9.28
2018/12/28	9.32
2019/1/2	8.69
2019/1/3	9.13
2019/1/4	8.36
2019/1/7	8.2
2019/1/8	8.03
2019/1/9	7.87
2019/1/10	7.77
2019/1/11	7.53
2019/1/14	7.56
2019/1/15	7.3
2019/1/16	7.38
2019/1/17	7.2
2019/1/18	7.12
2019/1/21	7.12
2019/1/22	7.8
2019/1/23	7.65
2019/1/24	7.45
2019/1/25	7.11
2019/1/28	7.4
2019/1/29	7.32
2019/1/30	7.03
2019/2/11	6.45
2019/2/12	6.35
2019/2/13	6.33
2019/2/14	6.43
2019/2/15	6.2
2019/2/18	6.2
2019/2/19	6.2
2019/2/20	5.94
2019/2/21	6.05
2019/2/22	5.79
2019/2/25	5.92
2019/2/26	5.99
2019/2/27	5.97
2019/3/4	5.81
2019/3/5	5.89
2019/3/6	6.07
2019/3/7	6.25
2019/3/8	6.28
2019/3/11	5.83
2019/3/12	5.71
2019/3/13	5.63
2019/3/14	5.57
2019/3/15	5.4
2019/3/18	5.44
2019/3/19	5.47
2019/3/20	5.55
2019/3/21	5.46
2019/3/22	6.02
2019/3/25	6.06
2019/3/26	5.77
2019/3/27	5.88
2019/3/28	5.7
2019/3/29	5.56
2019/4/1	5.44
2019/4/2	5.46
2019/4/3	5.44
2019/4/8	5.32
2019/4/9	5.51
2019/4/10	5.34
2019/4/11	5.23
2019/4/12	4.96
2019/4/15	4.92
2019/4/16	4.91
2019/4/17	4.9
2019/4/18	4.84
2019/4/19	4.84
2019/4/22	4.76
2019/4/23	4.74
2019/4/24	4.89
2019/4/25	4.98
2019/4/26	4.82
2019/4/29	4.88
2019/4/30	4.87
2019/5/2	5.07
2019/5/3	4.81
2019/5/6	5.14
2019/5/7	5.73
2019/5/8	5.81
2019/5/9	5.78
2019/5/10	5.36
2019/5/13	6.19
2019/5/14	5.86
2019/5/15	5.6
2019/5/16	5.38
2019/5/17	5.47
2019/5/20	5.54
2019/5/21	5.26
2019/5/22	5.24
2019/5/23	5.59
2019/5/24	5.41
2019/5/27	5.41
2019/5/28	5.6
2019/5/29	5.74
2019/5/30	5.64
2019/5/31	5.85
2019/6/3	5.84
2019/6/4	5.57
2019/6/5	5.4
2019/6/6	5.34
2019/6/10	5.32
2019/6/11	5.35
2019/6/12	5.31
2019/6/13	5.31
2019/6/14	5.23
2019/6/17	5.17
2019/6/18	5.17
2019/6/19	4.91
2019/6/20	4.94
2019/6/21	5.07
2019/6/24	5
2019/6/25	5.12
2019/6/26	5.09
2019/6/27	4.95
2019/6/28	4.8
2019/7/1	4.64
2019/7/2	4.46
2019/7/3	4.43
2019/7/4	4.43
2019/7/5	4.49
2019/7/8	4.62
2019/7/9	4.63
2019/7/10	4.45
2019/7/11	4.38
2019/7/12	4.31
2019/7/15	4.3
2019/7/16	4.33
2019/7/17	4.45
2019/7/18	4.33
2019/7/19	4.48
2019/7/22	4.3
2019/7/23	4.19
2019/7/24	4.09
2019/7/25	4.17
2019/7/26	4.09
2019/7/29	4.12
2019/7/30	4.27
2019/7/31	4.52
2019/8/1	4.81
2019/8/2	4.83
2019/8/5	5.77
2019/8/6	5.39
2019/8/7	5.3
2019/8/8	4.94
2019/8/12	5.57
2019/8/13	5.09
2019/8/14	5.68
2019/8/15	5.69
2019/8/16	5.33
2019/8/19	4.96
2019/8/20	5.08
2019/8/21	4.77
2019/8/22	4.91
2019/8/23	5.38
2019/8/26	5.33
2019/8/27	5.51
2019/8/28	5.34
2019/8/29	5.11
2019/8/30	5.18
2019/9/2	5.18
2019/9/3	5.34
2019/9/4	5.01
2019/9/5	4.83
2019/9/6	4.67
2019/9/9	4.65
2019/9/10	4.62
2019/9/11	4.51
2019/9/12	4.39
2019/9/16	4.43
2019/9/17	4.39
2019/9/18	4.2
2019/9/19	4.17
2019/9/20	4.42
2019/9/23	4.3
2019/9/24	4.57
2019/9/25	4.43
2019/9/26	4.48
2019/9/27	4.61
2019/10/1	4.73
2019/10/2	5.02
2019/10/3	4.79
2019/10/4	4.54
2019/10/7	4.58
2019/10/8	4.93
2019/10/9	4.71
2019/10/14	4.13
2019/10/15	4.02
2019/10/16	3.98
2019/10/17	3.94
2019/10/18	3.96
2019/10/21	3.83
2019/10/22	3.92
2019/10/23	3.85
2019/10/24	3.82
2019/10/25	3.7
2019/10/28	3.74
2019/10/29	3.71
2019/10/30	3.58
2019/10/31	3.65
2019/11/1	3.5
2019/11/4	3.52
2019/11/5	3.59
2019/11/6	3.54
2019/11/7	3.5
2019/11/8	3.45
2019/11/11	3.41
2019/11/12	3.4
2019/11/13	3.41
2019/11/14	3.37
2019/11/15	3.25
