Dates,S_Close,S_Open,upper,lower,ending
2010/1/12,969.5,999.5,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/13,983.5,965.5,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/14,968.5,983.75,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/15,974.0,983.5,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/18,974.0,983.5,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/19,963.5,974.0,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/20,950.0,963.75,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/21,954.0,950.0,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/22,951.5,956.0,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/25,940.5,955.0,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/26,947.5,941.0,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/27,929.0,945.75,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/28,931.75,931.25,964.8635451033804,930.6424072775719,1231.8086699830574
2010/1/29,914.0,931.5,964.8635451033804,930.6424072775719,1231.8086699830574
2010/2/1,909.75,915.25,964.8635451033804,930.6424072775719,1231.8086699830574
2010/2/2,925.5,911.25,964.8635451033804,930.6424072775719,1231.8086699830574
2010/2/3,908.0,926.5,964.8635451033804,930.6424072775719,1231.8086699830574
2010/2/4,914.0,911.25,964.8635451033804,930.6424072775719,1231.8086699830574
2010/2/5,913.5,914.0,964.8635451033804,930.6424072775719,1231.8086699830574
2010/2/8,929.5,919.75,964.8635451033804,930.6424072775719,1231.8086699830574
2010/2/9,924.5,929.5,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/10,937.5,924.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/11,943.0,938.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/12,945.0,942.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/15,945.0,942.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/16,965.5,948.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/17,951.5,963.5,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/18,948.0,952.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/19,945.0,939.5,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/22,961.5,946.25,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/23,952.5,960.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/24,955.5,952.5,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/25,941.5,954.75,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/2/26,951.0,940.5,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/1,952.5,954.25,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/2,954.25,952.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/3,954.5,954.75,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/4,932.5,952.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/5,934.75,934.75,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/8,940.5,938.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/9,941.5,941.0,1411.0953048313193,1337.587048109857,1276.3520504259418
2010/3/10,952.0,941.25,999.5775727712725,930.3258755045896,1305.2721666105676
2010/3/11,925.5,956.0,999.5775727712725,930.3258755045896,1305.2721666105676
